timestamp_us,event,replica,region,slot,pid,detail,status_code,latency_us,operation,value,expected_live,state_digest,clock_offset_us,rtt_us,binary_sha256
1788254818265631,agent_start_received,,,,,1788254862.0,,,,,,,,,
1788254862001550,bootstrap_attempt_started,paris-slot0-g1,eu-west-3,0,178825481046239401,attempt 1/3,,,,,,,,,
1788254862004165,spawn_requested,paris-slot0-g1,eu-west-3,0,178825481046239401,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260901T092623Z-21106dd4/paris-slot0-g1,,,,,,,,,
1788254862305551,bootstrap_ready,paris-slot0-g1,eu-west-3,0,178825481046239401,,,,,,,,,,
1788254862306002,bootstrap_attempt_started,paris-slot1-g1,eu-west-3,1,178825481046240401,attempt 1/3,,,,,,,,,
1788254862308071,spawn_requested,paris-slot1-g1,eu-west-3,1,178825481046240401,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260901T092623Z-21106dd4/paris-slot1-g1,,,,,,,,,
1788254862609259,bootstrap_ready,paris-slot1-g1,eu-west-3,1,178825481046240401,,,,,,,,,,
1788254862609631,bootstrap_attempt_started,paris-slot2-g1,eu-west-3,2,178825481046241401,attempt 1/3,,,,,,,,,
1788254862611754,spawn_requested,paris-slot2-g1,eu-west-3,2,178825481046241401,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260901T092623Z-21106dd4/paris-slot2-g1,,,,,,,,,
1788254862912885,bootstrap_ready,paris-slot2-g1,eu-west-3,2,178825481046241401,,,,,,,,,,
1788254862913261,bootstrap_attempt_started,paris-slot3-g1,eu-west-3,3,178825481046242401,attempt 1/3,,,,,,,,,
1788254862915392,spawn_requested,paris-slot3-g1,eu-west-3,3,178825481046242401,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260901T092623Z-21106dd4/paris-slot3-g1,,,,,,,,,
1788254863216585,bootstrap_ready,paris-slot3-g1,eu-west-3,3,178825481046242401,,,,,,,,,,
1788254863217018,bootstrap_attempt_started,paris-slot4-g1,eu-west-3,4,178825481046243401,attempt 1/3,,,,,,,,,
1788254863219163,spawn_requested,paris-slot4-g1,eu-west-3,4,178825481046243401,/home/ec2-user/gresse-runs/acm-sec-geo-churn-20260901T092623Z-21106dd4/paris-slot4-g1,,,,,,,,,
1788254863520444,bootstrap_ready,paris-slot4-g1,eu-west-3,4,178825481046243401,,,,,,,,,,
1788254893526987,state_snapshot,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,,,,,,,,
1788254893527847,state_snapshot,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,,,,,,,,
1788254893528649,state_snapshot,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,,,,,,,,
1788254893528851,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,7018,Remove,676,True,,,,
1788254893529528,state_snapshot,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,,,,,,,,
1788254893530279,state_snapshot,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,,,,,,,,
1788254893624981,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,3186,Remove,941,True,,,,
1788254893631239,state_snapshot,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,,,,,,,,
1788254893631797,state_snapshot,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,,,,,,,,
1788254893632310,state_snapshot,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,,,,,,,,
1788254893632787,state_snapshot,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,,,,,,,,
1788254893633203,state_snapshot,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,,,,,,,,
1788254893724945,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,3144,Remove,861,True,,,,
1788254893824920,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,3130,Remove,48,True,,,,
1788254893924982,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,3160,Insert,195,True,,,,
1788254894024801,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,2998,Insert,417,True,,,,
1788254894124727,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,2939,Remove,504,True,,,,
1788254894224709,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,2910,Insert,147,True,,,,
1788254894324812,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,3048,Remove,237,True,,,,
1788254894424959,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,3175,Remove,9,True,,,,
1788254894524862,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,3099,Remove,93,True,,,,
1788254894624722,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,2889,Insert,747,True,,,,
1788254894724759,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,2946,Insert,198,True,,,,
1788254894824886,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,3088,Remove,287,True,,,,
1788254894924552,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,2786,Remove,720,True,,,,
1788254895024819,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,3018,Insert,584,True,,,,
1788254895124497,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,2697,Insert,164,True,,,,
1788254895224762,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,2967,Remove,185,True,,,,
1788254895324780,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,2978,Remove,186,True,,,,
1788254895424812,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,3017,Remove,481,True,,,,
1788254895524797,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,3022,Insert,274,True,,,,
1788254895624788,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,3000,Insert,809,True,,,,
1788254895725164,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,3356,Insert,812,True,,,,
1788254895825015,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,3188,Insert,75,True,,,,
1788254895924556,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,2773,Insert,676,True,,,,
1788254896024583,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,2783,Remove,363,True,,,,
1788254896124841,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,3022,Remove,293,True,,,,
1788254896224737,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,2941,Remove,364,True,,,,
1788254896324791,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,2989,Remove,159,True,,,,
1788254896424926,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,3122,Remove,769,True,,,,
1788254896524580,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,2799,Remove,890,True,,,,
1788254896624586,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,2780,Remove,988,True,,,,
1788254896724752,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,2932,Insert,498,True,,,,
1788254896824755,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,2950,Insert,317,True,,,,
1788254896924539,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,2775,Insert,108,True,,,,
1788254897024846,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,3046,Remove,466,True,,,,
1788254897124618,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,2824,Remove,49,True,,,,
1788254897224789,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,2974,Remove,278,True,,,,
1788254897324793,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,3000,Remove,15,True,,,,
1788254897424770,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,2966,Insert,798,True,,,,
1788254897524576,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,2802,Remove,408,True,,,,
1788254897624598,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,2836,Insert,695,True,,,,
1788254897724901,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,3086,Remove,302,True,,,,
1788254897824808,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,3018,Remove,147,True,,,,
1788254897924414,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,2630,Insert,434,True,,,,
1788254898024755,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,2961,Insert,780,True,,,,
1788254898124558,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,2745,Remove,900,True,,,,
1788254898224575,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,2773,Insert,607,True,,,,
1788254898324810,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,3004,Remove,314,True,,,,
1788254898424581,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,2817,Insert,630,True,,,,
1788254898524823,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,3027,Insert,234,True,,,,
1788254898624760,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,2971,Remove,865,True,,,,
1788254898724843,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,3036,Insert,650,True,,,,
1788254898824763,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,2982,Insert,53,True,,,,
1788254898924597,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,2802,Remove,911,True,,,,
1788254899024622,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,2827,Insert,176,True,,,,
1788254899124932,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,3114,Remove,143,True,,,,
1788254899224820,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,2998,Insert,452,True,,,,
1788254899324712,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,2914,Remove,49,True,,,,
1788254899424680,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,2850,Remove,219,True,,,,
1788254899524808,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,3027,Remove,874,True,,,,
1788254899624841,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,3045,Remove,675,True,,,,
1788254899724674,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,2845,Insert,509,True,,,,
1788254899824700,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,2912,Remove,920,True,,,,
1788254899924848,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,3069,Insert,74,True,,,,
1788254900024511,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,2715,Insert,525,True,,,,
1788254900124702,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,2903,Insert,114,True,,,,
1788254900224861,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,3044,Insert,314,True,,,,
1788254900324897,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,3112,Remove,280,True,,,,
1788254900424764,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,2980,Remove,444,True,,,,
1788254900524760,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,2994,Insert,55,True,,,,
1788254900624579,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,2787,Insert,645,True,,,,
1788254900724881,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,3079,Insert,356,True,,,,
1788254900824757,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,3014,Remove,645,True,,,,
1788254900924800,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,3001,Remove,40,True,,,,
1788254901024773,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,2978,Remove,232,True,,,,
1788254901124697,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,2853,Insert,759,True,,,,
1788254901224866,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,3052,Insert,419,True,,,,
1788254901324749,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,2951,Remove,903,True,,,,
1788254901424759,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,2947,Insert,770,True,,,,
1788254901524789,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,3014,Remove,310,True,,,,
1788254901624582,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,2806,Insert,15,True,,,,
1788254901724692,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,2846,Remove,416,True,,,,
1788254901824625,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,2834,Remove,808,True,,,,
1788254901924554,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,2763,Insert,626,True,,,,
1788254902024769,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,2975,Remove,660,True,,,,
1788254902125064,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,3260,Insert,181,True,,,,
1788254902224771,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,2969,Insert,189,True,,,,
1788254902324710,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,2845,Insert,103,True,,,,
1788254902424706,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,2867,Insert,308,True,,,,
1788254902524549,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,2783,Insert,307,True,,,,
1788254902624614,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,2823,Insert,349,True,,,,
1788254902724754,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,2970,Remove,751,True,,,,
1788254902824713,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,2907,Remove,357,True,,,,
1788254902924802,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,2985,Insert,553,True,,,,
1788254903024793,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,2972,Insert,528,True,,,,
1788254903124739,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,2935,Remove,688,True,,,,
1788254903224818,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,3056,Remove,992,True,,,,
1788254903324689,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,2906,Insert,849,True,,,,
1788254903424887,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,3101,Insert,587,True,,,,
1788254903524598,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,2835,Insert,32,True,,,,
1788254903624602,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,2818,Insert,740,True,,,,
1788254903724707,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,2911,Insert,428,True,,,,
1788254903824777,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,2973,Insert,808,True,,,,
1788254903924533,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,2736,Remove,281,True,,,,
1788254904024695,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,2842,Insert,399,True,,,,
1788254904124730,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,2926,Remove,375,True,,,,
1788254904224813,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,3030,Remove,378,True,,,,
1788254904324856,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,3073,Insert,271,True,,,,
1788254904424754,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,2967,Remove,961,True,,,,
1788254904524711,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,2933,Insert,598,True,,,,
1788254904625071,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,3319,Insert,967,True,,,,
1788254904724789,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,3005,Insert,956,True,,,,
1788254904824861,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,3058,Remove,753,True,,,,
1788254904924839,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,3031,Insert,265,True,,,,
1788254905024683,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,2830,Insert,97,True,,,,
1788254905124699,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,2847,Remove,853,True,,,,
1788254905224623,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,2827,Insert,299,True,,,,
1788254905324845,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,3048,Remove,522,True,,,,
1788254905424757,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,2976,Insert,442,True,,,,
1788254905524867,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,3109,Insert,147,True,,,,
1788254905625088,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,3310,Remove,610,True,,,,
1788254905724677,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,2886,Insert,577,True,,,,
1788254905824582,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,2798,Insert,142,True,,,,
1788254905924526,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,2742,Insert,436,True,,,,
1788254906024682,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,2845,Insert,262,True,,,,
1788254906124577,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,2792,Remove,659,True,,,,
1788254906224589,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,2794,Insert,549,True,,,,
1788254906325150,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,3360,Insert,929,True,,,,
1788254906424612,client_request,paris-slot4-g1,eu-west-3,4,178825481046243401,,200,2833,Remove,746,True,,,,
1788254906524560,client_request,paris-slot0-g1,eu-west-3,0,178825481046239401,,200,2793,Remove,992,True,,,,
1788254906624694,client_request,paris-slot1-g1,eu-west-3,1,178825481046240401,,200,2887,Insert,664,True,,,,
1788254906724673,client_request,paris-slot2-g1,eu-west-3,2,178825481046241401,,200,2841,Remove,132,True,,,,
1788254906824520,client_request,paris-slot3-g1,eu-west-3,3,178825481046242401,,200,2721,Remove,681,True,,,,
