source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1786962829968382,178696280264305131,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1786962830001545,178696280264305131,,,,,1786962829968403,1786962830001545,,,persistent_snapshot_missing,,,,,33142
server,membership_descriptor_write,completed,1786962830007937,178696280264305131,,,,,1786962829968631,1786962830007937,,,"178696280264305131,16.192.148.144:19080,0",,,,,39306
server,membership_directory_read,completed,1786962830022144,178696280264305131,,,,,1786962830007941,1786962830022144,,,init:1 descriptors,,,,,14203
server,persistent_state_write,completed,1786962830051448,178696280264305131,,,,,1786962830022173,1786962830051448,,,initial_snapshot,,,,,29275
server,persistent_state_fetch,completed,1786962830051473,178696280264305131,,,,,,,,,initialized_new_persistent_snapshot,,,,,
server,replica_init,completed,1786962830054172,178696280264305131,,,,,,,,,,,,,,
server,peer_replication_connection,established,1786962830663842,178696280264305131,178696280264305132,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1786962830713378,178696280264305131,178696280264305132,,,1786962830713372,1786962830713375,1786962830713378,,,"delta_len=0,sent_us=1786962830667282",,,,,3
server,peer_replication_pull_request,sent,1786962831055924,178696280264305131,,,,,,,,,connected_peers=1,,,,,
server,peer_replication_merge_delta,completed,1786962831105696,178696280264305131,,,,1786962831103355,1786962831105693,1786962831105696,,,"delta_len=0,sent_us=1786962831056185",,,,,3
server,peer_replication_connection,established,1786962831316197,178696280264305131,178696280264305133,,,,,,,,,,,,,
server,peer_replication_connection,established,1786962831966500,178696280264305131,178696280264305134,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786962832055702,178696280264305131,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786962832115899,178696280264305131,,,,1786962832113674,1786962832115898,1786962832115899,,,"delta_len=0,sent_us=1786962832056210",,,,,1
server,peer_replication_connection,established,1786962832593003,178696280264305131,178696280264305135,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786962833055593,178696280264305131,,,,,,,,,connected_peers=4,,,,,
server,peer_replication_merge_delta,completed,1786962833106581,178696280264305131,,,,1786962833104345,1786962833106579,1786962833106581,,,"delta_len=0,sent_us=1786962833103605",,,,,2
server,peer_replication_get_delta,completed,1786962833318482,178696280264305131,178696280264305133,,,1786962833318480,1786962833318481,1786962833318482,,,"delta_len=0,sent_us=1786962833317955",,,,,1
server,peer_replication_connection,established,1786962833770138,178696280264305131,178696280264305136,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1786962834013590,178696280264305131,178696280264305134,,,1786962834013585,1786962834013589,1786962834013590,,,"delta_len=0,sent_us=1786962833968248",,,,,1
server,peer_replication_pull_request,sent,1786962834055857,178696280264305131,,,,,,,,,connected_peers=5,,,,,
server,peer_replication_merge_delta,completed,1786962834105706,178696280264305131,,,,1786962834103560,1786962834105704,1786962834105706,,,"delta_len=0,sent_us=1786962834103338",,,,,2
server,peer_replication_get_delta,completed,1786962834643372,178696280264305131,178696280264305135,,,1786962834643369,1786962834643371,1786962834643372,,,"delta_len=0,sent_us=1786962834596010",,,,,1
server,peer_replication_get_delta,completed,1786962834668366,178696280264305131,178696280264305132,,,1786962834668364,1786962834668365,1786962834668366,,,"delta_len=0,sent_us=1786962834668089",,,,,1
server,peer_replication_connection,established,1786962834755026,178696280264305131,178696280264305137,,,,,,,,,,,,,
server,membership_directory_read,completed,1786962834987070,178696280264305131,,,,,1786962834969325,1786962834987070,,,poll:7 descriptors,,,,,17745
server,peer_replication_pull_request,sent,1786962835056233,178696280264305131,,,,,,,,,connected_peers=6,,,,,
server,peer_replication_merge_delta,completed,1786962835105383,178696280264305131,,,,1786962835103318,1786962835105382,1786962835105383,,,"delta_len=0,sent_us=1786962835056653",,,,,1
server,peer_replication_get_delta,completed,1786962835643433,178696280264305131,178696280264305135,,,1786962835643430,1786962835643432,1786962835643433,,,"delta_len=0,sent_us=1786962835595895",,,,,1
server,peer_replication_connection,established,1786962835779613,178696280264305131,178696280264305138,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1786962835806857,178696280264305131,178696280264305137,,,1786962835806854,1786962835806856,1786962835806857,,,"delta_len=0,sent_us=1786962835723829",,,,,1
server,peer_replication_get_delta,completed,1786962836023468,178696280264305131,178696280264305134,,,1786962836023465,1786962836023467,1786962836023468,,,"delta_len=0,sent_us=1786962835968524",,,,,1
server,peer_replication_pull_request,sent,1786962836055658,178696280264305131,,,,,,,,,connected_peers=7,,,,,
server,peer_replication_merge_delta,completed,1786962836179183,178696280264305131,,,,1786962836176972,1786962836179181,1786962836179183,,,"delta_len=0,sent_us=1786962836091542",,,,,2
server,peer_replication_get_delta,completed,1786962836363514,178696280264305131,178696280264305133,,,1786962836363510,1786962836363513,1786962836363514,,,"delta_len=0,sent_us=1786962836317971",,,,,1
server,peer_replication_connection,established,1786962836763688,178696280264305131,178696280264305139,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786962837056159,178696280264305131,,,,,,,,,connected_peers=8,,,,,
server,peer_replication_merge_delta,completed,1786962837105742,178696280264305131,,,,1786962837103572,1786962837105739,1786962837105742,,,"delta_len=0,sent_us=1786962837056940",,,,,3
server,peer_replication_get_delta,completed,1786962837667572,178696280264305131,178696280264305132,,,1786962837667569,1786962837667571,1786962837667572,,,"delta_len=0,sent_us=1786962837667260",,,,,1
server,peer_replication_connection,established,1786962837769306,178696280264305131,178696280264305140,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786962838055713,178696280264305131,,,,,,,,,connected_peers=9,,,,,
server,peer_replication_merge_delta,completed,1786962838105523,178696280264305131,,,,1786962838103402,1786962838105521,1786962838105523,,,"delta_len=0,sent_us=1786962838056043",,,,,2
server,peer_replication_get_delta,completed,1786962838319173,178696280264305131,178696280264305133,,,1786962838319172,1786962838319172,1786962838319173,,,"delta_len=0,sent_us=1786962838318332",,,,,1
server,peer_replication_pull_request,sent,1786962839056094,178696280264305131,,,,,,,,,connected_peers=9,,,,,
server,peer_replication_merge_delta,completed,1786962839105802,178696280264305131,,,,1786962839103737,1786962839105800,1786962839105802,,,"delta_len=0,sent_us=1786962839103425",,,,,2
server,membership_directory_read,completed,1786962839991026,178696280264305131,,,,,1786962839969785,1786962839991026,,,poll:11 descriptors,,,,,21241
server,peer_replication_pull_request,sent,1786962840057359,178696280264305131,,,,,,,,,connected_peers=9,,,,,
server,peer_replication_merge_delta,completed,1786962840117743,178696280264305131,,,,1786962840114160,1786962840117740,1786962840117743,,,"delta_len=0,sent_us=1786962840064551",,,,,3
server,peer_replication_connection,established,1786962840214590,178696280264305131,178696280264305141,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1786962840325380,178696280264305131,178696280264305141,,,1786962840325376,1786962840325378,1786962840325380,,,"delta_len=0,sent_us=1786962840194498",,,,,2
server,peer_replication_connection,established,1786962840350400,178696280264305131,178696280264305141,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1786962840771408,178696280264305131,178696280264305140,,,1786962840771399,1786962840771407,1786962840771408,,,"delta_len=0,sent_us=1786962840736084",,,,,1
server,peer_replication_pull_request,sent,1786962841055901,178696280264305131,,,,,,,,,connected_peers=10,,,,,
server,peer_replication_merge_delta,completed,1786962841178964,178696280264305131,,,,1786962841176804,1786962841178962,1786962841178964,,,"delta_len=0,sent_us=1786962841091426",,,,,2
server,peer_replication_get_delta,completed,1786962841767152,178696280264305131,178696280264305139,,,1786962841767149,1786962841767151,1786962841767152,,,"delta_len=0,sent_us=1786962841731811",,,,,1
server,peer_replication_pull_request,sent,1786962842055656,178696280264305131,,,,,,,,,connected_peers=10,,,,,
server,peer_replication_merge_delta,completed,1786962842105616,178696280264305131,,,,1786962842103465,1786962842105614,1786962842105616,,,"delta_len=0,sent_us=1786962842056109",,,,,2
server,peer_replication_get_delta,completed,1786962842968575,178696280264305131,178696280264305134,,,1786962842968572,1786962842968574,1786962842968575,,,"delta_len=0,sent_us=1786962842968196",,,,,1
server,peer_replication_pull_request,sent,1786962843055849,178696280264305131,,,,,,,,,connected_peers=10,,,,,
server,peer_replication_merge_delta,completed,1786962843105771,178696280264305131,,,,1786962843103620,1786962843105769,1786962843105771,,,"delta_len=0,sent_us=1786962843103385",,,,,2
server,peer_replication_connection,established,1786962843654591,178696280264305131,178696280264305142,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1786962843782982,178696280264305131,178696280264305138,,,1786962843782979,1786962843782981,1786962843782982,,,"delta_len=0,sent_us=1786962843747518",,,,,1
server,peer_replication_pull_request,sent,1786962844055479,178696280264305131,,,,,,,,,connected_peers=11,,,,,
server,peer_replication_merge_delta,completed,1786962844436273,178696280264305131,,,,1786962844433959,1786962844436272,1786962844436273,,,"delta_len=0,sent_us=1786962844225279",,,,,1
server,peer_replication_get_delta,completed,1786962844816907,178696280264305131,178696280264305136,,,1786962844816904,1786962844816905,1786962844816907,,,"delta_len=0,sent_us=1786962844738419",,,,,2
server,membership_directory_read,completed,1786962844988473,178696280264305131,,,,,1786962844970207,1786962844988473,,,poll:12 descriptors,,,,,18266
server,peer_replication_pull_request,sent,1786962845055613,178696280264305131,,,,,,,,,connected_peers=11,,,,,
server,peer_replication_merge_delta,completed,1786962845179173,178696280264305131,,,,1786962845176945,1786962845179172,1786962845179173,,,"delta_len=0,sent_us=1786962845091436",,,,,1
server,peer_replication_pull_request,sent,1786962846056034,178696280264305131,,,,,,,,,connected_peers=11,,,,,
server,peer_replication_merge_delta,completed,1786962846105420,178696280264305131,,,,1786962846103384,1786962846105418,1786962846105420,,,"delta_len=0,sent_us=1786962846056400",,,,,2
server,peer_replication_get_delta,completed,1786962846318873,178696280264305131,178696280264305133,,,1786962846318871,1786962846318872,1786962846318873,,,"delta_len=0,sent_us=1786962846318475",,,,,1
server,peer_replication_get_delta,completed,1786962846657974,178696280264305131,178696280264305142,,,1786962846657971,1786962846657973,1786962846657974,,,"delta_len=0,sent_us=1786962846494963",,,,,1
server,peer_replication_connection,established,1786962846888760,178696280264305131,178696280264305143,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786962847056066,178696280264305131,,,,,,,,,connected_peers=12,,,,,
server,peer_replication_merge_delta,completed,1786962847179028,178696280264305131,,,,1786962847176851,1786962847179026,1786962847179028,,,"delta_len=0,sent_us=1786962847091777",,,,,2
server,peer_replication_get_delta,completed,1786962847891501,178696280264305131,178696280264305143,,,1786962847891498,1786962847891500,1786962847891501,,,"delta_len=0,sent_us=1786962847732057",,,,,1
server,peer_replication_pull_request,sent,1786962848055882,178696280264305131,,,,,,,,,connected_peers=12,,,,,
server,peer_replication_merge_delta,completed,1786962848173598,178696280264305131,,,,1786962848171541,1786962848173596,1786962848173598,,,"delta_len=0,sent_us=1786962848135990",,,,,2
server,peer_replication_get_delta,completed,1786962848363401,178696280264305131,178696280264305133,,,1786962848363398,1786962848363400,1786962848363401,,,"delta_len=0,sent_us=1786962848318357",,,,,1
server,peer_replication_get_delta,completed,1786962848891598,178696280264305131,178696280264305143,,,1786962848891595,1786962848891597,1786962848891598,,,"delta_len=0,sent_us=1786962848732177",,,,,1
