source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1786973541967251,178697341754591656,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1786973542760815,178697341754591656,,,,,1786973541967275,1786973542760815,,,restored_existing_snapshot,,,,,793540
server,membership_descriptor_write,completed,1786973542752091,178697341754591656,,,,,1786973541967518,1786973542752091,,,"178697341754591656,35.77.61.140:19080,0",,,,,784573
server,membership_directory_read,completed,1786973543018692,178697341754591656,,,,,1786973542752094,1786973543018692,,,init:38 descriptors,,,,,266598
server,replica_init,completed,1786973543021466,178697341754591656,,,,,,,,,,,,,,
server,peer_replication_connection,established,1786973543512270,178697341754591656,178697341754591631,,,,,,,,,,,,,
server,peer_replication_connection,established,1786973543997274,178697341754591656,178697341754591631,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786973544022505,178697341754591656,,,,,,,,,connected_peers=1,,,,,
server,peer_replication_connection,established,1786973544484404,178697341754591656,178697341754591632,,,,,,,,,,,,,
server,peer_replication_merge_delta,completed,1786973544840591,178697341754591656,,1,,1786973544837768,1786973544840589,1786973544840591,,,"delta_len=0,sent_us=1786973544425577",,,,,2
server,peer_replication_connection,established,1786973545001015,178697341754591656,178697341754591632,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786973545022383,178697341754591656,,,,,,,,,connected_peers=2,,,,,
server,peer_replication_connection,established,1786973545488392,178697341754591656,178697341754591633,,,,,,,,,,,,,
server,peer_replication_merge_delta,completed,1786973545906188,178697341754591656,,1,,1786973545903384,1786973545906186,1786973545906188,,,"delta_len=0,sent_us=1786973545475214",,,,,2
server,peer_replication_connection,established,1786973545975381,178697341754591656,178697341754591633,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786973546022590,178697341754591656,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786973546792792,178697341754591656,,1,,1786973546790062,1786973546792791,1786973546792792,,,"delta_len=0,sent_us=1786973546425564",,,,,1
server,membership_directory_read,completed,1786973547233256,178697341754591656,,,,,1786973546968381,1786973547233256,,,poll:38 descriptors,,,,,264875
server,peer_replication_pull_request,sent,1786973547233299,178697341754591656,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_pull_request,sent,1786973548022439,178697341754591656,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786973548053665,178697341754591656,,1,,1786973548051083,1786973548053664,1786973548053665,,,"delta_len=0,sent_us=1786973547671428",,,,,1
server,peer_replication_get_delta,completed,1786973548590624,178697341754591656,178697341754591633,1,,1786973548590621,1786973548590623,1786973548590624,,,"delta_len=0,sent_us=1786973548225291",,,,,1
server,peer_replication_merge_delta,completed,1786973548593164,178697341754591656,,1,,1786973548590666,1786973548593163,1786973548593164,,,"delta_len=0,sent_us=1786973548436568",,,,,1
server,peer_replication_pull_request,sent,1786973549021837,178697341754591656,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786973549651025,178697341754591656,,1,,1786973549648520,1786973549651023,1786973549651025,,,"delta_len=0,sent_us=1786973549239904",,,,,2
server,peer_replication_get_delta,completed,1786973549900395,178697341754591656,178697341754591632,1,,1786973549900391,1786973549900393,1786973549900395,,,"delta_len=0,sent_us=1786973549520607",,,,,2
server,peer_replication_pull_request,sent,1786973550022677,178697341754591656,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_get_delta,completed,1786973550590467,178697341754591656,178697341754591633,1,,1786973550590465,1786973550590466,1786973550590467,,,"delta_len=0,sent_us=1786973550225118",,,,,1
server,peer_replication_merge_delta,completed,1786973550776287,178697341754591656,,1,,1786973550773524,1786973550776285,1786973550776287,,,"delta_len=0,sent_us=1786973550343677",,,,,2
server,peer_replication_pull_request,sent,1786973551021971,178697341754591656,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786973551650870,178697341754591656,,1,,1786973551648586,1786973551650868,1786973551650870,,,"delta_len=0,sent_us=1786973551240032",,,,,2
server,membership_directory_read,completed,1786973552230183,178697341754591656,,,,,1786973551968185,1786973552230183,,,poll:39 descriptors,,,,,261998
server,peer_replication_pull_request,sent,1786973552230223,178697341754591656,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_pull_request,sent,1786973553022520,178697341754591656,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786973553053651,178697341754591656,,1,,1786973553051256,1786973553053648,1786973553053651,,,"delta_len=0,sent_us=1786973552671462",,,,,3
server,peer_replication_merge_delta,completed,1786973553804181,178697341754591656,,1,,1786973553801817,1786973553804180,1786973553804181,,,"delta_len=0,sent_us=1786973553436619",,,,,1
server,peer_replication_pull_request,sent,1786973554022254,178697341754591656,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_get_delta,completed,1786973554273803,178697341754591656,178697341754591631,1,,1786973554273800,1786973554273802,1786973554273803,,,"delta_len=0,sent_us=1786973553909347",,,,,1
server,peer_replication_merge_delta,completed,1786973554760856,178697341754591656,,1,,1786973554758665,1786973554760854,1786973554760856,,,"delta_len=0,sent_us=1786973554394168",,,,,2
server,peer_replication_pull_request,sent,1786973555022065,178697341754591656,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_get_delta,completed,1786973555047655,178697341754591656,178697341754591631,1,,1786973555047653,1786973555047654,1786973555047655,,,"delta_len=0,sent_us=1786973554909626",,,,,1
server,peer_replication_get_delta,completed,1786973555589705,178697341754591656,178697341754591633,1,,1786973555589694,1786973555589696,1786973555589705,,,"delta_len=0,sent_us=1786973555224404",,,,,9
server,peer_replication_merge_delta,completed,1786973555792767,178697341754591656,,1,,1786973555790232,1786973555792765,1786973555792767,,,"delta_len=0,sent_us=1786973555425584",,,,,2
server,peer_replication_pull_request,sent,1786973556022658,178697341754591656,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786973556802545,178697341754591656,,1,,1786973556800297,1786973556802544,1786973556802545,,,"delta_len=0,sent_us=1786973556435623",,,,,1
server,membership_directory_read,completed,1786973557234377,178697341754591656,,,,,1786973556968554,1786973557234377,,,poll:39 descriptors,,,,,265823
server,client_mutation,completed,1786974397705055,178697341754591656,,,,1786974397702959,1786974397702960,1786974397705055,,,,,,,,2095
server,peer_replication_get_delta,completed,1786974397705071,178697341754591656,178697341754591633,1,,1786974397705069,1786974397705070,1786974397705071,,,"delta_len=1,sent_us=1786973557224899",,,,,1
server,peer_replication_get_delta,completed,1786974397705087,178697341754591656,178697341754591632,1,,1786974397705086,1786974397705086,1786974397705087,,,"delta_len=1,sent_us=1786973558520772",,,,,1
server,peer_replication_get_delta,completed,1786974397705092,178697341754591656,178697341754591631,1,,1786974397705091,1786974397705092,1786974397705092,,,"delta_len=1,sent_us=1786973575909417",,,,,0
server,peer_replication_get_delta,completed,1786974397705096,178697341754591656,178697341754591632,1,,1786974397705096,1786974397705096,1786974397705096,,,"delta_len=1,sent_us=1786973581520938",,,,,0
server,peer_replication_get_delta,completed,1786974397705100,178697341754591656,178697341754591631,1,,1786974397705100,1786974397705100,1786974397705100,,,"delta_len=1,sent_us=1786973587908806",,,,,0
server,peer_replication_get_delta,completed,1786974397705105,178697341754591656,178697341754591633,1,,1786974397705105,1786974397705105,1786974397705105,,,"delta_len=1,sent_us=1786973591224368",,,,,0
server,peer_replication_get_delta,completed,1786974397705118,178697341754591656,178697341754591632,1,,1786974397705117,1786974397705117,1786974397705118,,,"delta_len=1,sent_us=1786973595521190",,,,,1
server,peer_replication_get_delta,completed,1786974397705123,178697341754591656,178697341754591632,1,,1786974397705122,1786974397705122,1786974397705123,,,"delta_len=1,sent_us=1786973598520989",,,,,1
server,peer_replication_get_delta,completed,1786974397705128,178697341754591656,178697341754591633,1,,1786974397705127,1786974397705127,1786974397705128,,,"delta_len=1,sent_us=1786973605225040",,,,,1
server,peer_replication_get_delta,completed,1786974397705133,178697341754591656,178697341754591633,1,,1786974397705132,1786974397705132,1786974397705133,,,"delta_len=1,sent_us=1786973624225292",,,,,1
server,peer_replication_get_delta,completed,1786974397705137,178697341754591656,178697341754591632,1,,1786974397705136,1786974397705137,1786974397705137,,,"delta_len=1,sent_us=1786973626521210",,,,,0
server,peer_replication_get_delta,completed,1786974397705143,178697341754591656,178697341754591633,1,,1786974397705142,1786974397705142,1786974397705143,,,"delta_len=1,sent_us=1786973646224330",,,,,1
