source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1786973525412908,178697341754591654,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1786973525972291,178697341754591654,,,,,1786973525412931,1786973525972291,,,restored_existing_snapshot,,,,,559360
server,membership_descriptor_write,completed,1786973525981380,178697341754591654,,,,,1786973525413142,1786973525981380,,,"178697341754591654,54.251.165.199:19083,0",,,,,568238
server,membership_directory_read,completed,1786973526177098,178697341754591654,,,,,1786973525981383,1786973526177098,,,init:36 descriptors,,,,,195715
server,replica_init,completed,1786973526179648,178697341754591654,,,,,,,,,,,,,,
server,peer_replication_connection,established,1786973526531834,178697341754591654,178697341754591631,,,,,,,,,,,,,
server,peer_replication_connection,established,1786973526886676,178697341754591654,178697341754591631,,,,,,,,,,,,,
server,peer_replication_connection,established,1786973526886732,178697341754591654,178697341754591633,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786973527180648,178697341754591654,,,,,,,,,connected_peers=2,,,,,
server,peer_replication_connection,established,1786973527244241,178697341754591654,178697341754591632,,,,,,,,,,,,,
server,peer_replication_connection,established,1786973527596579,178697341754591654,178697341754591632,,,,,,,,,,,,,
server,peer_replication_merge_delta,completed,1786973527715573,178697341754591654,,1,,1786973527713486,1786973527715570,1786973527715573,,,"delta_len=0,sent_us=1786973527447665",,,,,3
server,peer_replication_get_delta,completed,1786973527772553,178697341754591654,178697341754591632,1,,1786973527772550,1786973527772552,1786973527772553,,,"delta_len=0,sent_us=1786973527520636",,,,,1
server,peer_replication_connection,established,1786973527952497,178697341754591654,178697341754591633,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786973528181023,178697341754591654,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_connection,established,1786973528305008,178697341754591654,178697341754591633,,,,,,,,,,,,,
server,peer_replication_merge_delta,completed,1786973528757273,178697341754591654,,1,,1786973528755274,1786973528757271,1786973528757273,,,"delta_len=0,sent_us=1786973528491113",,,,,2
server,peer_replication_pull_request,sent,1786973529180849,178697341754591654,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786973529755426,178697341754591654,,1,,1786973529753362,1786973529755424,1786973529755426,,,"delta_len=0,sent_us=1786973529444957",,,,,2
server,peer_replication_pull_request,sent,1786973530180930,178697341754591654,,,,,,,,,connected_peers=3,,,,,
server,membership_directory_read,completed,1786973530611952,178697341754591654,,,,,1786973530413347,1786973530611952,,,poll:36 descriptors,,,,,198605
server,peer_replication_merge_delta,completed,1786973530756367,178697341754591654,,1,,1786973530753661,1786973530756365,1786973530756367,,,"delta_len=0,sent_us=1786973530489527",,,,,2
server,peer_replication_pull_request,sent,1786973531180275,178697341754591654,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786973531756479,178697341754591654,,1,,1786973531753998,1786973531756477,1786973531756479,,,"delta_len=0,sent_us=1786973531489828",,,,,2
server,peer_replication_pull_request,sent,1786973532180234,178697341754591654,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786973532759513,178697341754591654,,1,,1786973532756924,1786973532759510,1786973532759513,,,"delta_len=0,sent_us=1786973532490606",,,,,3
server,peer_replication_pull_request,sent,1786973533180746,178697341754591654,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_get_delta,completed,1786973533489191,178697341754591654,178697341754591633,1,,1786973533489188,1786973533489190,1786973533489191,,,"delta_len=0,sent_us=1786973533224931",,,,,1
server,peer_replication_merge_delta,completed,1786973533756450,178697341754591654,,1,,1786973533753980,1786973533756448,1786973533756450,,,"delta_len=0,sent_us=1786973533489774",,,,,2
server,peer_replication_pull_request,sent,1786973534180599,178697341754591654,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786973534759569,178697341754591654,,1,,1786973534757242,1786973534759567,1786973534759569,,,"delta_len=0,sent_us=1786973534490910",,,,,2
server,peer_replication_pull_request,sent,1786973535180829,178697341754591654,,,,,,,,,connected_peers=3,,,,,
server,membership_directory_read,completed,1786973535608890,178697341754591654,,,,,1786973535413195,1786973535608890,,,poll:37 descriptors,,,,,195695
server,peer_replication_merge_delta,completed,1786973535755856,178697341754591654,,1,,1786973535753596,1786973535755854,1786973535755856,,,"delta_len=0,sent_us=1786973535489490",,,,,2
server,peer_replication_pull_request,sent,1786973536180191,178697341754591654,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786973536759062,178697341754591654,,1,,1786973536756724,1786973536759060,1786973536759062,,,"delta_len=0,sent_us=1786973536490332",,,,,2
server,peer_replication_pull_request,sent,1786973537180308,178697341754591654,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786973537755826,178697341754591654,,1,,1786973537753480,1786973537755824,1786973537755826,,,"delta_len=0,sent_us=1786973537444885",,,,,2
server,peer_replication_pull_request,sent,1786973538181050,178697341754591654,,,,,,,,,connected_peers=3,,,,,
server,peer_replication_merge_delta,completed,1786973538755713,178697341754591654,,1,,1786973538753463,1786973538755711,1786973538755713,,,"delta_len=0,sent_us=1786973538489295",,,,,2
