source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1786968139266452,178696810657723237,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1786968139367639,178696810657723237,,,,,1786968139266482,1786968139367639,,,restored_existing_snapshot,,,,,101157
server,membership_descriptor_write,completed,1786968139376305,178696810657723237,,,,,1786968139266712,1786968139376305,,,"178696810657723237,3.76.45.179:19081,0",,,,,109593
server,membership_directory_read,completed,1786968139416847,178696810657723237,,,,,1786968139376310,1786968139416847,,,init:7 descriptors,,,,,40537
server,replica_init,completed,1786968139419107,178696810657723237,,,,,,,,,,,,,,
server,peer_replication_connection,established,1786968139464657,178696810657723237,178696810657723231,,,,,,,,,,,,,
server,peer_replication_connection,established,1786968139512305,178696810657723237,178696810657723232,,,,,,,,,,,,,
server,peer_replication_connection,established,1786968139559930,178696810657723237,178696810657723233,,,,,,,,,,,,,
server,peer_replication_connection,established,1786968139607582,178696810657723237,178696810657723234,,,,,,,,,,,,,
server,peer_replication_connection,established,1786968139655249,178696810657723237,178696810657723235,,,,,,,,,,,,,
server,peer_replication_connection,established,1786968139655718,178696810657723237,178696810657723236,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786968140419625,178696810657723237,,,,,,,,,connected_peers=6,,,,,
server,peer_replication_merge_delta,completed,1786968140534920,178696810657723237,,,,1786968140532733,1786968140534918,1786968140534920,,,"delta_len=0,sent_us=1786968140497043",,,,,2
server,peer_replication_connection,established,1786968140687850,178696810657723237,178696810657723238,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786968141419730,178696810657723237,,,,,,,,,connected_peers=7,,,,,
server,peer_replication_merge_delta,completed,1786968141464848,178696810657723237,,,,1786968141462698,1786968141464846,1786968141464848,,,"delta_len=0,sent_us=1786968141462444",,,,,2
server,peer_replication_connection,established,1786968141777606,178696810657723237,178696810657723239,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1786968142375639,178696810657723237,178696810657723236,,,1786968142375637,1786968142375638,1786968142375639,,,"delta_len=0,sent_us=1786968142375259",,,,,1
