source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1786967323617767,178696728656977338,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1786967323723277,178696728656977338,,,,,1786967323617788,1786967323723277,,,restored_existing_snapshot,,,,,105489
server,membership_descriptor_write,completed,1786967323723300,178696728656977338,,,,,1786967323617995,1786967323723300,,,"178696728656977338,3.76.45.179:19082,0",,,,,105305
server,membership_directory_read,completed,1786967323764077,178696728656977338,,,,,1786967323723303,1786967323764077,,,init:8 descriptors,,,,,40774
server,replica_init,completed,1786967323766412,178696728656977338,,,,,,,,,,,,,,
server,peer_replication_connection,established,1786967323811710,178696728656977338,178696728656977331,,,,,,,,,,,,,
server,peer_replication_connection,established,1786967323859085,178696728656977338,178696728656977332,,,,,,,,,,,,,
server,peer_replication_connection,established,1786967323906578,178696728656977338,178696728656977333,,,,,,,,,,,,,
server,peer_replication_connection,established,1786967323954371,178696728656977338,178696728656977334,,,,,,,,,,,,,
server,peer_replication_connection,established,1786967324002061,178696728656977338,178696728656977335,,,,,,,,,,,,,
server,peer_replication_connection,established,1786967324002633,178696728656977338,178696728656977336,,,,,,,,,,,,,
server,peer_replication_connection,established,1786967324003806,178696728656977338,178696728656977337,,,,,,,,,,,,,
server,peer_replication_pull_request,sent,1786967324767667,178696728656977338,,,,,,,,,connected_peers=7,,,,,
server,peer_replication_merge_delta,completed,1786967324884560,178696728656977338,,,,1786967324882349,1786967324884558,1786967324884560,,,"delta_len=0,sent_us=1786967324846775",,,,,2
server,peer_replication_pull_request,sent,1786967325768345,178696728656977338,,,,,,,,,connected_peers=7,,,,,
server,peer_replication_merge_delta,completed,1786967325884519,178696728656977338,,,,1786967325882343,1786967325884517,1786967325884519,,,"delta_len=0,sent_us=1786967325846804",,,,,2
server,peer_replication_pull_request,sent,1786967326768362,178696728656977338,,,,,,,,,connected_peers=7,,,,,
server,peer_replication_merge_delta,completed,1786967326884613,178696728656977338,,,,1786967326882703,1786967326884611,1786967326884613,,,"delta_len=0,sent_us=1786967326846967",,,,,2
server,peer_replication_pull_request,sent,1786967327767532,178696728656977338,,,,,,,,,connected_peers=7,,,,,
server,peer_replication_merge_delta,completed,1786967327884380,178696728656977338,,,,1786967327882340,1786967327884379,1786967327884380,,,"delta_len=0,sent_us=1786967327846767",,,,,1
