source,event,phase,timestamp_us,replica_pid,peer_pid,gc_marker,sent_us,received_us,start_us,end_us,insert_count,delete_count,detail,client_id,operation,value,status_code,latency_us
server,replica_init,start,1786959351219272,178695929047432838,,,,,,,,,,,,,,
server,persistent_state_fetch,completed,1786959351325065,178695929047432838,,,,,1786959351219300,1786959351325065,,,restored_existing_snapshot,,,,,105765
server,membership_descriptor_write,completed,1786959351332141,178695929047432838,,,,,1786959351219508,1786959351332141,,,"178695929047432838,3.76.45.179:19082,0",,,,,112633
server,membership_directory_read,completed,1786959351369734,178695929047432838,,,,,1786959351332144,1786959351369734,,,init:8 descriptors,,,,,37590
server,replica_init,completed,1786959351372179,178695929047432838,,,,,,,,,,,,,,
server,peer_replication_connection,established,1786959351417432,178695929047432838,178695929047432831,,,,,,,,,,,,,
server,peer_replication_connection,established,1786959351464947,178695929047432838,178695929047432832,,,,,,,,,,,,,
server,peer_replication_connection,established,1786959351512460,178695929047432838,178695929047432833,,,,,,,,,,,,,
server,peer_replication_connection,established,1786959351560205,178695929047432838,178695929047432834,,,,,,,,,,,,,
server,peer_replication_connection,established,1786959351607537,178695929047432838,178695929047432835,,,,,,,,,,,,,
server,peer_replication_connection,established,1786959351607984,178695929047432838,178695929047432836,,,,,,,,,,,,,
server,peer_replication_connection,established,1786959351608501,178695929047432838,178695929047432837,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1786959351973634,178695929047432838,178695929047432831,,,1786959351973631,1786959351973633,1786959351973634,,,"delta_len=0,sent_us=1786959351937867",,,,,1
server,peer_replication_get_delta,completed,1786959352342943,178695929047432838,178695929047432834,,,1786959352342940,1786959352342942,1786959352342943,,,"delta_len=0,sent_us=1786959352307206",,,,,1
server,peer_replication_pull_request,sent,1786959352374114,178695929047432838,,,,,,,,,connected_peers=7,,,,,
server,peer_replication_merge_delta,completed,1786959352494731,178695929047432838,,,,1786959352492493,1786959352494729,1786959352494731,,,"delta_len=0,sent_us=1786959352456904",,,,,2
server,peer_replication_connection,established,1786959352626154,178695929047432838,178695929047432839,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1786959353144474,178695929047432838,178695929047432836,,,1786959353144470,1786959353144473,1786959353144474,,,"delta_len=0,sent_us=1786959353144130",,,,,1
server,peer_replication_pull_request,sent,1786959353373840,178695929047432838,,,,,,,,,connected_peers=8,,,,,
server,peer_replication_merge_delta,completed,1786959353488327,178695929047432838,,,,1786959353486004,1786959353488325,1786959353488327,,,"delta_len=0,sent_us=1786959353409345",,,,,2
server,peer_replication_connection,established,1786959353612819,178695929047432838,178695929047432840,,,,,,,,,,,,,
server,peer_replication_get_delta,completed,1786959353637901,178695929047432838,178695929047432833,,,1786959353637896,1786959353637899,1786959353637901,,,"delta_len=0,sent_us=1786959353602296",,,,,2
server,peer_replication_get_delta,completed,1786959354192478,178695929047432838,178695929047432836,,,1786959354192475,1786959354192476,1786959354192478,,,"delta_len=0,sent_us=1786959354144018",,,,,2
server,peer_replication_pull_request,sent,1786959354373824,178695929047432838,,,,,,,,,connected_peers=9,,,,,
server,peer_replication_merge_delta,completed,1786959354424978,178695929047432838,,,,1786959354422829,1786959354424976,1786959354424978,,,"delta_len=0,sent_us=1786959354374770",,,,,2
server,peer_replication_get_delta,completed,1786959354432465,178695929047432838,178695929047432839,,,1786959354432462,1786959354432463,1786959354432465,,,"delta_len=0,sent_us=1786959354389372",,,,,2
server,peer_replication_get_delta,completed,1786959354970185,178695929047432838,178695929047432835,,,1786959354970181,1786959354970183,1786959354970185,,,"delta_len=0,sent_us=1786959354934726",,,,,2
server,peer_replication_pull_request,sent,1786959355373878,178695929047432838,,,,,,,,,connected_peers=9,,,,,
server,peer_replication_merge_delta,completed,1786959355487905,178695929047432838,,,,1786959355485791,1786959355487903,1786959355487905,,,"delta_len=0,sent_us=1786959355409170",,,,,2
server,membership_directory_read,completed,1786959356260682,178695929047432838,,,,,1786959356220660,1786959356260682,,,poll:11 descriptors,,,,,40022
server,peer_replication_pull_request,sent,1786959356373741,178695929047432838,,,,,,,,,connected_peers=9,,,,,
server,peer_replication_get_delta,completed,1786959356376349,178695929047432838,178695929047432840,,,1786959356376346,1786959356376348,1786959356376349,,,"delta_len=0,sent_us=1786959356375395",,,,,1
server,peer_replication_merge_delta,completed,1786959356424787,178695929047432838,,,,1786959356422671,1786959356424786,1786959356424787,,,"delta_len=0,sent_us=1786959356422434",,,,,1
server,peer_replication_connection,established,1786959356644821,178695929047432838,178695929047432841,,,,,,,,,,,,,
